0 -1 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.01 -0.989999 1.01349 1 1 0 1022.93 1.0464e+06 0.111518
0.02 -0.979988 1.00329 1 1 0 1021.84 1.04416e+06 0.113106
0.03 -0.969938 0.998353 1 1 0 1020.8 1.04203e+06 0.112234
0.04 -0.959873 1.01272 1 1 0 1019.7 1.0398e+06 0.113139
0.05 -0.949813 0.991957 1 1 0 1018.61 1.03758e+06 0.108673
0.06 -0.939698 1.00482 1 1 0 1017.51 1.03533e+06 0.110609
0.07 -0.929609 1.01758 1 1 1.24002e-06 1016.43 1.03313e+06 0.110118
0.08 -0.919398 0.998968 1 0.999999 4.33941e-06 1015.32 1.03087e+06 0.112468
0.09 -0.909218 1.0002 0.999997 0.999995 2.88918e-05 1014.22 1.02866e+06 0.112267
0.1 -0.89908 1.01643 0.999989 0.999979 0.000106114 1013.11 1.02641e+06 0.111619
0.11 -0.888879 1.02658 0.999967 0.999934 0.00029967 1012.04 1.02423e+06 0.11363
0.12 -0.87851 1.01801 0.999916 0.999832 0.000696582 1010.91 1.02196e+06 0.111788
0.13 -0.868092 1.053 0.999805 0.999611 0.00150953 1009.78 1.01967e+06 0.112073
0.14 -0.85755 1.06621 0.999609 0.99922 0.00281467 1008.66 1.01742e+06 0.115452
0.15 -0.846916 1.08763 0.999278 0.998558 0.00484648 1007.45 1.01497e+06 0.114787
0.16 -0.83602 1.11465 0.99878 0.997564 0.00765727 1006.26 1.01257e+06 0.112331
0.17 -0.824737 1.14778 0.99805 0.996108 0.0114407 1005.01 1.01006e+06 0.114714
0.18 -0.812967 1.19803 0.997025 0.994065 0.0165804 1003.63 1.0073e+06 0.115021
0.19 -0.800831 1.20821 0.995624 0.991275 0.023409 1002.3 1.00462e+06 0.119348
0.2 -0.788081 1.28159 0.99383 0.987708 0.0313903 1000.72 1.00146e+06 0.116694
0.21 -0.774995 1.36647 0.991633 0.983352 0.0410362 999.144 998314 0.120302
0.22 -0.760944 1.41546 0.988954 0.978049 0.0515234 997.448 994928 0.12066
0.23 -0.746319 1.47825 0.985643 0.971517 0.0642375 995.669 991384 0.122127
0.24 -0.730754 1.59467 0.981682 0.963732 0.0794116 993.674 987418 0.126795
0.25 -0.714405 1.6992 0.977215 0.954992 0.0968124 991.463 983030 0.127943
0.26 -0.696996 1.77471 0.971861 0.944566 0.114928 988.983 978122 0.130449
0.27 -0.678698 1.86245 0.96576 0.932756 0.137684 986.344 972911 0.135965
0.28 -0.659431 2.0032 0.958977 0.919717 0.162435 983.534 967379 0.14192
0.29 -0.638405 2.11825 0.950924 0.904352 0.18992 980.264 960960 0.149066
0.3 -0.616708 2.26015 0.942219 0.887893 0.222397 976.705 954000 0.158579
0.31 -0.593281 2.44809 0.932218 0.869171 0.262395 972.747 946288 0.16782
0.32 -0.568166 2.62984 0.920873 0.848181 0.31296 968.364 937786 0.183916
0.33 -0.540362 2.8527 0.90767 0.824071 0.361483 962.81 927068 0.200642
0.34 -0.511819 2.99424 0.893353 0.798324 0.413625 957.152 916211 0.219158
0.35 -0.479953 3.33774 0.876597 0.768733 0.511563 950.222 903009 0.259965
0.36 -0.443208 3.83083 0.85594 0.733038 0.646661 941.352 886252 0.323724
0.37 -0.400945 4.84 0.830734 0.690702 0.908292 930.198 865423 0.450685
0.38 -0.348381 5.72453 0.796864 0.635805 1.23153 914.34 836238 0.633823
0.39 -0.272808 10.0589 0.74139 0.551448 2.64221 886.223 785925 1.54485
0.4 -0.0368962 29.8693 0.518211 0.278262 13.9945 753.843 572219 13.0674
0.41 0.0993312 5.02143 0.366318 0.136538 3.29923 654.19 429117 4.29544
0.42 0.140544 2.92391 0.319016 0.103318 2.12033 621.06 386536 3.14291
0.43 0.163502 2.1285 0.294893 0.0881353 1.57166 603.681 365085 2.51894
0.44 0.183476 1.64522 0.273069 0.0755706 1.31451 587.319 345521 2.23429
0.45 0.198446 1.34947 0.258777 0.0677907 1.05601 576.576 332931 1.894
0.46 0.211113 1.16639 0.24725 0.0618873 0.945123 567.642 322675 1.75003
0.47 0.222279 1.0629 0.237699 0.0572226 0.884353 560.368 314469 1.73402
0.48 0.231726 0.93013 0.230531 0.0537759 0.757881 554.651 308041 1.5143
0.49 0.2407 0.845903 0.223277 0.0504466 0.698231 548.577 301320 1.42365
0.5 0.249534 0.772823 0.216754 0.0475588 0.664242 543.275 295534 1.42084
0.51 0.257449 0.750419 0.212093 0.0455467 0.636314 539.286 291210 1.38555
0.52 0.264017 0.681126 0.208214 0.04388 0.583846 535.896 287553 1.32211
0.53 0.270947 0.64591 0.204446 0.0423131 0.559773 532.594 284019 1.28467
0.54 0.276897 0.624212 0.201348 0.0410352 0.527011 529.629 280859 1.22923
0.55 0.283505 0.60918 0.198109 0.0397466 0.52297 526.613 277684 1.25166
0.56 0.288991 0.556031 0.195537 0.0387115 0.490401 524.169 275095 1.16539
0.57 0.294802 0.553233 0.192914 0.037688 0.477171 521.732 272551 1.16617
0.58 0.300502 0.541791 0.190493 0.0367443 0.45338 519.357 270079 1.15353
0.59 0.305421 0.525687 0.18896 0.0361527 0.436348 517.593 268235 1.08937
0.6 0.310374 0.492763 0.188064 0.0358027 0.417371 516.66 267265 1.05528
0.61 0.315529 0.48675 0.186042 0.0350362 0.400886 514.594 265130 1.03058
0.62 0.320265 0.473643 0.185258 0.0347503 0.399307 513.375 263889 1.05085
0.63 0.324889 0.462413 0.184418 0.0344257 0.379947 512.283 262756 0.998628
0.64 0.329673 0.457372 0.183228 0.0339919 0.377542 510.868 261322 1.02707
0.65 0.333658 0.439937 0.182383 0.033682 0.370803 509.659 260084 1.00086
0.66 0.338142 0.429474 0.182493 0.0337069 0.35197 509.445 259857 0.958052
0.67 0.342672 0.430708 0.181469 0.0333353 0.347622 507.922 258311 0.959605
0.68 0.34711 0.419291 0.180475 0.0329707 0.338403 506.787 257154 0.929335
0.69 0.351074 0.414395 0.180459 0.0329641 0.332645 506.354 256722 0.939095
0.7 0.355106 0.407892 0.180144 0.0328526 0.32973 505.543 255905 0.935447
0.71 0.359326 0.404883 0.180013 0.032795 0.316655 504.885 255226 0.886734
0.72 0.36285 0.39897 0.180804 0.0330784 0.310739 505.523 255871 0.873544
0.73 0.367446 0.391511 0.180284 0.0328811 0.29887 504.377 254712 0.858551
0.74 0.370807 0.383791 0.180208 0.0328663 0.304654 503.842 254184 0.877888
0.75 0.37483 0.384143 0.180621 0.033012 0.298084 503.912 254256 0.868291
0.76 0.378881 0.3868 0.180634 0.0330139 0.292039 503.325 253661 0.849499
0.77 0.38252 0.381992 0.181239 0.0332291 0.285285 503.455 253786 0.82322
0.78 0.386323 0.3823 0.181356 0.0332856 0.292163 503.236 253583 0.858473
0.79 0.38995 0.368559 0.181576 0.0333487 0.27632 502.82 253147 0.804274
0.8 0.394295 0.36743 0.181094 0.0331744 0.273063 501.739 252064 0.800723
0.81 0.397522 0.368231 0.181785 0.0334306 0.273582 502.013 252343 0.8011
0.82 0.401352 0.366025 0.182714 0.0337661 0.268209 502.514 252844 0.786137
0.83 0.404689 0.369193 0.182759 0.03379 0.270061 501.796 252132 0.80017
0.84 0.408799 0.364037 0.182497 0.0336787 0.256243 501.333 251656 0.764013
0.85 0.412381 0.356652 0.183493 0.0340601 0.264562 501.809 252146 0.782036
0.86 0.415893 0.358993 0.184037 0.0342562 0.258874 501.818 252160 0.784453
0.87 0.419433 0.354605 0.184487 0.0344204 0.254744 501.5 251840 0.775696
0.88 0.422556 0.366121 0.185407 0.0347596 0.251223 502.11 252447 0.752092
0.89 0.426342 0.359098 0.185669 0.0348591 0.249817 501.94 252282 0.75758
0.9 0.430235 0.348681 0.185858 0.0349183 0.240029 501.546 251875 0.72284
0.91 0.433614 0.35325 0.187081 0.0353798 0.240784 502.177 252513 0.723975
0.92 0.436872 0.350916 0.188073 0.0357447 0.233625 502.835 253170 0.706945
0.93 0.440567 0.347929 0.188567 0.0359344 0.23335 502.506 252841 0.7029
0.94 0.443956 0.348477 0.188858 0.0360452 0.231429 502.412 252746 0.694657
0.95 0.447319 0.349451 0.188884 0.0360665 0.23599 501.745 252090 0.716458
0.96 0.450767 0.345976 0.190025 0.0364955 0.231673 502.35 252699 0.71312
0.97 0.454144 0.348924 0.19088 0.0368196 0.228332 502.622 252972 0.703985
0.98 0.458093 0.338232 0.190812 0.0367841 0.220423 501.924 252254 0.664038
0.99 0.4611 0.3422 0.192494 0.0374315 0.219774 503.093 253434 0.665758
