0 -1 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.01 -0.989998 1.01078 1 1 0 1022.91 1.04636e+06 0.113025
0.02 -0.979977 1.00962 1 1 0 1021.84 1.04416e+06 0.112891
0.03 -0.969928 1.01855 1 1 0 1020.78 1.04199e+06 0.111959
0.04 -0.959866 0.999959 1 1 0 1019.67 1.03974e+06 0.112085
0.05 -0.949817 0.994637 1 1 0 1018.6 1.03755e+06 0.111035
0.06 -0.939718 1.01264 1 1 0 1017.5 1.0353e+06 0.112278
0.07 -0.929555 1.00363 1 1 0 1016.43 1.03314e+06 0.110467
0.08 -0.919419 1.02006 0.999999 0.999999 8.67708e-06 1015.31 1.03086e+06 0.111527
0.09 -0.909279 1.02562 0.999998 0.999996 2.21581e-05 1014.21 1.02864e+06 0.112749
0.1 -0.899095 1.02823 0.999989 0.999979 0.000105257 1013.15 1.02648e+06 0.112214
0.11 -0.888812 1.03252 0.999967 0.999934 0.000307501 1011.99 1.02414e+06 0.112907
0.12 -0.878569 1.02992 0.999912 0.999824 0.000734731 1010.93 1.022e+06 0.112245
0.13 -0.868165 1.03194 0.999807 0.999615 0.00148662 1009.8 1.01971e+06 0.114209
0.14 -0.857576 1.04705 0.999609 0.999219 0.00278627 1008.62 1.01734e+06 0.112429
0.15 -0.846878 1.09565 0.999277 0.998556 0.0048325 1007.49 1.01505e+06 0.113491
0.16 -0.835996 1.12186 0.998772 0.997547 0.00756187 1006.28 1.01263e+06 0.113184
0.17 -0.824712 1.13675 0.998043 0.996093 0.0115469 1004.98 1.01001e+06 0.114974
0.18 -0.812892 1.18587 0.99699 0.993994 0.0169345 1003.68 1.0074e+06 0.114924
0.19 -0.800939 1.26287 0.995684 0.991395 0.0230135 1002.29 1.00461e+06 0.11545
0.2 -0.788172 1.30136 0.993889 0.987826 0.0314878 1000.81 1.00164e+06 0.119022
0.21 -0.774986 1.35752 0.991654 0.983392 0.0407226 999.197 998421 0.122603
0.22 -0.760741 1.43037 0.988832 0.977808 0.0525158 997.375 994784 0.121073
0.23 -0.74639 1.5243 0.985691 0.971613 0.0645311 995.593 991232 0.121623
0.24 -0.730869 1.57534 0.981763 0.963891 0.0792077 993.625 987319 0.123628
0.25 -0.714302 1.68389 0.97712 0.954806 0.0968944 991.381 982868 0.126949
0.26 -0.696955 1.77117 0.971921 0.944682 0.113861 988.959 978075 0.133431
0.27 -0.678695 1.90094 0.965821 0.932875 0.136675 986.426 973073 0.137192
0.28 -0.659207 1.97884 0.958939 0.919642 0.159471 983.447 967207 0.139638
0.29 -0.638941 2.14327 0.951217 0.90491 0.190785 980.361 961151 0.149136
0.3 -0.616478 2.26928 0.942074 0.887619 0.220946 976.628 953849 0.158187
0.31 -0.593266 2.41514 0.932197 0.869132 0.261552 972.728 946251 0.166221
0.32 -0.568374 2.55891 0.921013 0.848431 0.301428 968.309 937678 0.181031
0.33 -0.540485 2.82964 0.907757 0.824231 0.362505 963.004 927440 0.200545
0.34 -0.511893 3.02452 0.893512 0.798614 0.424973 957.217 916338 0.226618
0.35 -0.479342 3.36876 0.876102 0.767867 0.513748 950.011 902607 0.258347
0.36 -0.442748 3.80793 0.855682 0.732593 0.642506 941.313 886179 0.321948
0.37 -0.399974 4.51595 0.830091 0.689598 0.851203 929.752 864585 0.426658
0.38 -0.349346 5.92521 0.797349 0.636609 1.27912 914.515 836568 0.664947
0.39 -0.26908 13.0798 0.73771 0.546764 3.76308 883.838 781968 2.31478
0.4 -0.0163588 26.031 0.495546 0.254265 12.527 739.322 550186 12.1372
0.41 0.0979311 5.22423 0.367861 0.137704 3.3467 655.256 430507 4.26791
0.42 0.139363 2.85385 0.320268 0.104063 2.04572 621.857 387490 3.00043
0.43 0.163419 2.13413 0.294545 0.0879687 1.62381 603.364 364718 2.58059
0.44 0.182898 1.67116 0.273981 0.0760573 1.29805 588.085 346413 2.19758
0.45 0.197441 1.42248 0.260566 0.0687815 1.13494 578.069 334683 1.99402
0.46 0.210101 1.19157 0.24862 0.0625844 0.967526 568.896 324108 1.77974
0.47 0.221628 1.04525 0.238421 0.0575384 0.850263 560.958 315108 1.64695
0.48 0.231207 0.949894 0.231192 0.0541187 0.802723 555.132 308595 1.59085
0.49 0.241529 0.862535 0.222574 0.0501686 0.73999 548.174 300901 1.51452
