0 -0.5 -nan 1 1 -nan 1024 1.04858e+06 -nan
0.01 -0.490005 1.00311 1 1 0 1022.92 1.04637e+06 0.109129
0.02 -0.479977 0.992949 1 1 0 1021.83 1.04414e+06 0.112652
0.03 -0.469943 0.997683 1 1 0 1020.76 1.04196e+06 0.113492
0.04 -0.459859 1.01615 1 1 0 1019.7 1.0398e+06 0.111672
0.05 -0.449779 1.01838 0.999999 0.999998 1.5618e-05 1018.59 1.03754e+06 0.111458
0.06 -0.439693 1.00837 0.999991 0.999981 0.000155406 1017.49 1.03529e+06 0.110756
0.07 -0.429515 1.03797 0.999947 0.999894 0.000758178 1016.39 1.03306e+06 0.11146
0.08 -0.419283 1.03484 0.999775 0.999551 0.00284192 1015.3 1.03084e+06 0.1118
0.09 -0.40874 1.0789 0.999343 0.998689 0.00739878 1014.1 1.02841e+06 0.1139
0.1 -0.397863 1.11937 0.998452 0.99691 0.0157182 1012.91 1.026e+06 0.112571
0.11 -0.386507 1.15918 0.996871 0.993757 0.0290555 1011.42 1.02298e+06 0.115538
0.12 -0.374342 1.2464 0.994358 0.988758 0.0474078 1009.88 1.01988e+06 0.114646
0.13 -0.361121 1.37644 0.99062 0.981345 0.074937 1008.06 1.01619e+06 0.118112
0.14 -0.34665 1.50834 0.985272 0.970787 0.111409 1005.86 1.01176e+06 0.123195
0.15 -0.331039 1.63117 0.978297 0.957105 0.155583 1003.33 1.00668e+06 0.127313
0.16 -0.313998 1.81533 0.969269 0.939542 0.214385 1000.28 1.00058e+06 0.136696
0.17 -0.294728 2.07081 0.957739 0.917353 0.299342 996.544 993125 0.151886
0.18 -0.273147 2.32273 0.94298 0.889338 0.401386 991.929 983955 0.173523
0.19 -0.249055 2.57075 0.924667 0.855185 0.530714 986.05 972331 0.193606
0.2 -0.220497 3.20446 0.900088 0.810438 0.804234 978.097 956724 0.26141
0.21 -0.185346 4.26369 0.865647 0.749836 1.3491 966.374 933963 0.419218
0.22 0.201092 0.872796 0.079783 0.00655235 0.489672 489.714 239985 1.5295
0.23 0.209276 0.801169 0.0753276 0.00584651 0.431404 483.677 234103 1.42804
0.24 0.216869 0.715373 0.0709464 0.00518575 0.365653 477.713 228358 1.29072
0.25 0.224221 0.673135 0.0672754 0.00467308 0.338905 472.488 223397 1.29486
0.26 0.230423 0.639457 0.0652348 0.00439321 0.3049 468.657 219785 1.19856
0.27 0.236678 0.602399 0.0632549 0.00413284 0.280875 464.958 216333 1.17691
0.28 0.242683 0.558543 0.0612546 0.00387875 0.26049 461.197 212849 1.13436
0.29 0.247978 0.548989 0.0602702 0.00375358 0.240497 458.599 210458 1.09002
0.3 0.253158 0.506314 0.0591725 0.00362128 0.230201 455.98 208065 1.07797
0.31 0.258667 0.483066 0.0578609 0.00346682 0.220992 452.89 205257 1.05322
0.32 0.262938 0.476648 0.0573527 0.00340502 0.208233 451.26 203784 1.02563
0.33 0.267862 0.45574 0.0566602 0.00332444 0.199093 449.061 201805 1.00619
0.34 0.272335 0.439309 0.056459 0.00330395 0.197068 447.229 200167 1.009
0.35 0.276702 0.430576 0.0561091 0.00325973 0.183494 445.475 198600 0.9757
0.36 0.280882 0.411376 0.0559639 0.00324404 0.179333 444.074 197356 0.963468
0.37 0.285075 0.402732 0.055629 0.00320711 0.175168 442.312 195800 0.975896
0.38 0.289389 0.392117 0.0553183 0.00316947 0.165761 440.506 194201 0.927411
0.39 0.292876 0.378157 0.0556751 0.00321 0.162879 439.994 193753 0.921478
0.4 0.2967 0.376746 0.0558968 0.00323361 0.157191 438.912 192807 0.928679
0.41 0.300393 0.362619 0.0560642 0.00325761 0.160736 437.869 191896 0.930486
0.42 0.304099 0.368765 0.0563929 0.00329271 0.154352 437.094 191218 0.91016
0.43 0.307966 0.355138 0.056294 0.00327912 0.147495 435.654 189962 0.894348
0.44 0.311033 0.350293 0.0569726 0.00335798 0.146756 435.601 189916 0.875192
0.45 0.314898 0.342973 0.0573137 0.00340072 0.148299 434.652 189093 0.875681
0.46 0.318069 0.33999 0.0576355 0.00343812 0.145592 434.036 188562 0.875313
0.47 0.321487 0.332592 0.0580621 0.00348487 0.139305 433.504 188098 0.847111
0.48 0.324968 0.331136 0.0585546 0.00354544 0.140153 432.801 187496 0.867382
0.49 0.328123 0.328569 0.0590464 0.00360615 0.140666 432.374 187132 0.875493
0.5 0.331148 0.324677 0.0599474 0.00371201 0.136308 432.701 187415 0.851305
0.51 0.334904 0.322542 0.0603928 0.00376928 0.137773 431.915 186734 0.832123
0.52 0.337686 0.317944 0.0610707 0.00385097 0.134398 431.674 186532 0.845365
0.53 0.34113 0.314641 0.0617324 0.00393394 0.133733 431.499 186383 0.839282
0.54 0.344413 0.317686 0.0621921 0.00399305 0.133537 431.023 185978 0.847166
0.55 0.34726 0.307882 0.0630435 0.00409992 0.131373 431.147 186083 0.821944
0.56 0.350479 0.312195 0.0638609 0.00420732 0.132801 431.084 186033 0.826546
0.57 0.353534 0.311783 0.0646061 0.00430396 0.131381 430.794 185783 0.810553
0.58 0.356426 0.306362 0.0654122 0.00440915 0.129499 431.07 186021 0.799554
0.59 0.359581 0.306143 0.0660523 0.0044957 0.129635 430.884 185867 0.807368
0.6 0.362887 0.308758 0.0667527 0.00459064 0.12933 430.446 185488 0.789373
0.61 0.365646 0.30178 0.0675578 0.00470108 0.129386 430.81 185802 0.779636
0.62 0.368907 0.301506 0.0685299 0.00483462 0.128463 431.009 185979 0.785736
0.63 0.371607 0.298935 0.0693907 0.00495665 0.129441 431.364 186293 0.802975
0.64 0.374996 0.295519 0.070016 0.00504253 0.126262 430.936 185920 0.777474
0.65 0.37792 0.299798 0.0711867 0.00521073 0.126876 431.431 186351 0.778858
0.66 0.381015 0.294008 0.0719055 0.0053119 0.12349 431.49 186405 0.77666
0.67 0.384009 0.304112 0.0728432 0.00545459 0.127627 431.681 186568 0.759161
0.68 0.386886 0.303642 0.0740248 0.00562743 0.125154 432.328 187130 0.758762
0.69 0.390375 0.305894 0.0745409 0.0057039 0.12318 431.786 186665 0.758334
0.7 0.393205 0.309161 0.0754707 0.00584854 0.125665 431.991 186851 0.774916
0.71 0.395862 0.303876 0.0766197 0.00602644 0.126446 432.629 187399 0.753427
0.72 0.398762 0.30636 0.0776037 0.00617819 0.124679 433.122 187822 0.727857
0.73 0.401928 0.302818 0.0784744 0.00631539 0.124006 433.241 187933 0.744087
0.74 0.40508 0.309672 0.0794228 0.00647303 0.128465 433.573 188227 0.755165
0.75 0.408498 0.310117 0.0808196 0.00669502 0.125344 434.259 188828 0.757292
0.76 0.411418 0.302581 0.0816322 0.00683161 0.127173 434.374 188932 0.761039
0.77 0.414603 0.30708 0.0826575 0.00700053 0.125879 434.752 189256 0.738749
0.78 0.417394 0.306837 0.0840622 0.00723785 0.126575 435.816 190186 0.735345
0.79 0.420413 0.307538 0.084938 0.00738818 0.126655 435.842 190214 0.742269
0.8 0.423893 0.312884 0.0857699 0.00753156 0.126065 435.933 190297 0.743463
0.81 0.426669 0.307991 0.0867028 0.00769429 0.125808 436.208 190541 0.746235
0.82 0.429846 0.30993 0.0877109 0.00787218 0.125717 436.759 191015 0.715337
0.83 0.432916 0.310271 0.088669 0.00804222 0.124932 436.857 191107 0.72492
0.84 0.435855 0.307446 0.0900743 0.00829359 0.123572 437.937 192048 0.706122
0.85 0.43897 0.314489 0.0909248 0.00845503 0.127197 438.06 192169 0.732639
0.86 0.442437 0.314345 0.0924781 0.00873946 0.125415 439.148 193116 0.702523
0.87 0.445478 0.321392 0.0932556 0.00889081 0.128584 439.316 193275 0.721289
0.88 0.448248 0.319701 0.0944004 0.00910227 0.124905 439.813 193706 0.70064
0.89 0.451904 0.311151 0.0955441 0.00932271 0.125578 440.378 194215 0.720106
0.9 0.455142 0.317798 0.0966984 0.00954893 0.12695 440.896 194668 0.701675
0.91 0.457764 0.316859 0.0978181 0.009774 0.130155 441.813 195490 0.725206
0.92 0.46107 0.316392 0.0987401 0.0099488 0.12471 441.801 195467 0.686191
0.93 0.464147 0.319748 0.100207 0.0102435 0.125106 442.719 196283 0.684918
0.94 0.467584 0.314484 0.101373 0.0104838 0.12697 443.422 196916 0.702663
0.95 0.47076 0.31856 0.10225 0.0106615 0.125201 443.781 197227 0.678011
0.96 0.474022 0.320651 0.103476 0.0109204 0.127872 444.272 197671 0.68744
0.97 0.477333 0.323268 0.104828 0.0112034 0.127331 445.258 198553 0.691939
0.98 0.480464 0.329296 0.105763 0.0114023 0.127185 445.275 198568 0.683639
0.99 0.483281 0.322532 0.106754 0.0116122 0.125551 445.935 199155 0.673034
