0 -1.07938e-16 -nan 1 1 -nan 144 20736 -nan
0.01 0.010069 1.01406 1 1 0 142.912 20424 0.110563
0.02 0.0202692 1.03169 1 1 0 141.813 20111.4 0.111611
0.03 0.0306519 1.03335 1 1 0 140.703 19797.9 0.11613
0.04 0.0411968 1.058 1 1 4.33984e-06 139.556 19476.4 0.118146
0.05 0.0519234 1.09185 0.999992 0.999984 0.000162427 138.392 19153.1 0.115967
0.06 0.0628816 1.1128 0.999934 0.999868 0.00111407 137.218 18829.6 0.115694
0.07 0.0741568 1.1531 0.999712 0.999424 0.00409666 136.008 18499.3 0.121151
0.08 0.085921 1.19747 0.999142 0.998286 0.0108978 134.787 18168.7 0.121331
0.09 0.098397 1.27967 0.997848 0.995704 0.0247216 133.602 17851 0.125774
0.1 0.111618 1.38145 0.995615 0.991257 0.0476516 132.45 17544.8 0.132073
0.11 0.12603 1.49543 0.991939 0.98396 0.0836552 131.357 17256.6 0.138881
0.12 0.14155 1.61658 0.986504 0.973218 0.135878 130.346 16992.2 0.142277
0.13 0.158388 1.73181 0.978916 0.958323 0.209679 129.458 16762.1 0.154518
0.14 0.176569 1.8665 0.968431 0.937936 0.319958 128.816 16596.8 0.17072
0.15 0.195528 1.9669 0.954983 0.912114 0.464322 128.495 16514.6 0.192948
0.16 0.215383 2.03615 0.938067 0.880166 0.707052 128.543 16528.3 0.236616
0.17 0.235819 2.08667 0.917444 0.842006 1.02659 129.026 16654.2 0.29771
0.18 0.257251 2.18739 0.888702 0.790407 1.96822 130.721 17100.7 0.539877
0.19 0.212267 0.837872 0.0306822 0.00100752 0.200456 424.11 179957 1.09529
0.2 0.220487 0.795602 0.0344681 0.00126182 0.212475 417.681 174549 1.09675
0.21 0.228479 0.774131 0.038353 0.00155726 0.23673 411.604 169516 1.13466
0.22 0.236025 0.752208 0.042194 0.00187949 0.259606 405.932 164887 1.18852
0.23 0.243067 0.708687 0.0458169 0.00220447 0.263654 400.508 160513 1.15845
0.24 0.249938 0.695269 0.0495276 0.00256584 0.270858 395.266 156347 1.17113
0.25 0.256969 0.675357 0.0536688 0.00300783 0.293724 389.935 152164 1.17691
0.26 0.263744 0.653093 0.0576503 0.00345848 0.29892 384.857 148234 1.18377
0.27 0.270392 0.646366 0.0623382 0.00403634 0.320615 379.59 144212 1.20931
0.28 0.276551 0.63439 0.0656211 0.00447231 0.341864 375.188 140895 1.2257
0.29 0.283107 0.628062 0.0709586 0.00521601 0.359287 369.873 136939 1.23625
0.3 0.28931 0.621881 0.0753835 0.00587764 0.374338 364.797 133218 1.28608
0.31 0.295628 0.619328 0.080351 0.00667147 0.399823 359.928 129693 1.29962
0.32 0.301907 0.635597 0.0850848 0.00747954 0.432207 355.089 126243 1.3672
0.33 0.308279 0.622954 0.0905403 0.00845815 0.454876 350.09 122725 1.40087
0.34 0.314748 0.631095 0.0964286 0.00958794 0.490409 344.794 119051 1.43425
0.35 0.320994 0.635188 0.101541 0.0106213 0.511417 340.012 115783 1.47139
0.36 0.32779 0.641908 0.108248 0.0120782 0.57711 334.351 111976 1.53634
0.37 0.333568 0.650141 0.113272 0.0132056 0.583689 330.073 109141 1.5794
0.38 0.340167 0.671118 0.119854 0.0147889 0.642438 324.767 105679 1.66141
0.39 0.347366 0.686555 0.127258 0.0166442 0.664183 318.795 101840 1.68702
0.4 0.354135 0.732157 0.134895 0.0187354 0.775961 313.277 98377.4 1.87238
0.41 0.360964 0.750288 0.141985 0.0207531 0.833449 308.029 95126.8 1.93771
0.42 0.369985 0.783579 0.153214 0.0241558 0.934204 300.24 90402.3 2.04988
0.43 0.378123 0.853642 0.163513 0.0275598 1.10275 293.483 86422.3 2.29642
